Var1,Freq,names.mytab.,
0,2,0,Other
1,2,1,Other
4chan,1,4chan,Fringe ideological sources
ABC,1,ABC,National or International news
abc news,1,abc news,National or International news
Above,1,Above,Other
Alexa,1,Alexa,News aggregation platforms
Algazeera,1,Algazeera,National or International news
All,1,All,Other
all others,1,all others,Other
Amazon prime,1,Amazon prime,News aggregation platforms
Anime,1,Anime,Other
ann arbor news,1,ann arbor news,Local news
AOL News,1,AOL News,National or International news
AP,1,AP,National or International news
apple,1,apple,News aggregation platforms
atlantic city press,1,atlantic city press,Local news
Atlantic Monthly,1,Atlantic Monthly,National or International news
axios,1,axios,National or International news
Baltimore Sun,2,Baltimore Sun,Local news
Bangor Dily News,1,Bangor Dily News,Local news
bbc,3,bbc,National or International news
Bbc,2,Bbc,National or International news
BBC,6,BBC,National or International news
BBC News,1,BBC News,National or International news
BBC World News,1,BBC World News,National or International news
Best,1,Best,Other
Bet,1,Bet,Other
BET,2,BET,Other
Bfh,1,Bfh,Other
bible,1,bible,Other
Bing,1,Bing,News aggregation platforms
Bloomberg,1,Bloomberg,National or International news
Boston Globe,1,Boston Globe,National or International news
BTW,1,BTW,Other
Business insider,1,Business insider,National or International news
Buzz,1,Buzz,Social media or blogs
Can you send y’all email email,1,Can you send y’all email email,Other
CBN,1,CBN,Other
CBS,2,CBS,National or International news
CBS news,1,CBS news,National or International news
chicago tribune,1,chicago tribune,National or International news
Cnn,1,Cnn,National or International news
Daily Beast major source,1,Daily Beast major source,Social media or blogs
Daily Kos,1,Daily Kos,Fringe ideological sources
Daily Sound and Fury,1,Daily Sound and Fury,Fringe ideological sources
Democracy Now Radio,1,Democracy Now Radio,Fringe ideological sources
Des Moines Register,1,Des Moines Register,Local news
Dhdh,1,Dhdh,Other
Discord,1,Discord,Social media or blogs
discover,1,discover,Other
DML,1,DML,Other
Drudge Report,1,Drudge Report,Fringe ideological sources
Excellent,1,Excellent,Other
facebook,1,facebook,Social media or blogs
Faith Nation,1,Faith Nation,Other
family,1,family,Other
Family,1,Family,Other
Family & friends,1,Family & friends,Other
Fargo Forum,1,Fargo Forum,Local news
Five thirtyeight,1,Five thirtyeight,National or International news
fox,1,fox,National or International news
Fox news,1,Fox news,National or International news
Friends,1,Friends,Other
Friends and family,1,Friends and family,Other
Fv,1,Fv,Other
G,2,G,Other
G is,1,G is,Other
Game,1,Game,Other
Github,1,Github,Other
goglecrome,1,goglecrome,News aggregation platforms
Good,1,Good,Other
Good vibes,1,Good vibes,Other
google,1,google,News aggregation platforms
Google,4,Google,News aggregation platforms
Gooy,1,Gooy,Other
Graças,1,Graças,Other
Grady,1,Grady,Other
Great,2,Great,Other
hln,1,hln,National or International news
How,1,How,Other
i don't know,1,i don't know,Other
i don’t know,1,i don’t know,Other
I don’t know,1,I don’t know,Other
I’m not driving home tomorrow,1,I’m not driving home tomorrow,Other
Idk,1,Idk,Other
Idkk,1,Idkk,Other
Infowars,1,Infowars,Fringe ideological sources
instagram,1,instagram,Social media or blogs
Jan,1,Jan,Other
jeez,1,jeez,Other
just above,1,just above,Other
las vegas sun,1,las vegas sun,Local news
Le Monde,1,Le Monde,National or International news
like,2,like,Other
Local,1,Local,Local news
local news,1,local news,Local news
Local news,4,Local news,Local news
Local News,1,Local News,Local news
local news broadcasts,1,local news broadcasts,Local news
"local news, newspaper",1,"local news, newspaper",Local news
local newspaper,3,local newspaper,Local news
Local newspaper,1,Local newspaper,Local news
local paper,1,local paper,Local news
Local paper,2,Local paper,Local news
local TV,1,local TV,Local news
M,1,M,Other
Major,1,Major,Other
Meep,1,Meep,Other
Micro news,1,Micro news,Other
Mone,1,Mone,Other
msn,2,msn,National or International news
MSN,2,MSN,National or International news
msn.com,1,msn.com,National or International news
MSN.com,1,MSN.com,National or International news
MSNBC,1,MSNBC,National or International news
n?A,1,n?A,Other
n/a,5,n/a,Other
na,1,na,Other
Na,3,Na,Other
missing,2,missing,Other
"missing, please fix this study.",1,"missing, please fix this study.",Other
NBC,3,NBC,National or International news
Ncs,1,Ncs,Other
Netflix,1,Netflix,Non-news magazines and other media
New Yorker,1,New Yorker,National or International news
News,1,News,Other
News Break,1,News Break,Other
News update,1,News update,Other
News week,1,News week,National or International news
newsmax,1,newsmax,Fringe ideological sources
Newsmax,4,Newsmax,Fringe ideological sources
Newswar,1,Newswar,Fringe ideological sources
newsy,1,newsy,Other
Newtown Bee,1,Newtown Bee,Other
Nine,2,Nine,Other
Nnn,1,Nnn,Other
no,1,no,Other
No,5,No,Other
none,21,none,Other
None,38,None,Other
none of above,1,none of above,Other
noon,1,noon,Other
not,1,not,Other
Not Available,1,Not Available,Other
Nothing,2,Nothing,Other
Nothinh,1,Nothinh,Other
Nta,1,Nta,Other
Olx,1,Olx,Other
Operanews,1,Operanews,Non-news magazines and other media
other,1,other,Other
Other,1,Other,Other
others,1,others,Other
Paper,1,Paper,Other
Parler,1,Parler,Fringe ideological sources
Peopl,1,Peopl,Non-news magazines and other media
Pinterest,1,Pinterest,Social media or blogs
please visit this,1,please visit this,Other
political websites,1,political websites,News aggregation platforms
press journal,1,press journal,Other
Reuters,1,Reuters,National or International news
San Antonio Express-News,1,San Antonio Express-News,Local news
Search Engines,1,Search Engines,Other
See,1,See,Other
Slate,1,Slate,National or International news
Smart News,1,Smart News,News aggregation platforms
Smartnews,1,Smartnews,News aggregation platforms
social,1,social,Social media or blogs
Spectrum News New York 1,1,Spectrum News New York 1,News aggregation platforms
Speedy,1,Speedy,Other
Springfield News-Sun,1,Springfield News-Sun,Local news
Style,1,Style,Non-news magazines and other media
Thanks,1,Thanks,Other
The Boston Globe,1,The Boston Globe,National or International news
"The Week, Vanity Fair, In These Times, The Progressive, Mother Jones, The Nation, The New Yorker",1,"The Week, Vanity Fair, In These Times, The Progressive, Mother Jones, The Nation, The New Yorker",National or International news
"The young tu4ks, the intercept",1,"The young tu4ks, the intercept",National or International news
Time,1,Time,National or International news
Time Magazine,1,Time Magazine,National or International news
Today's news,1,Today's news,News aggregation platforms
Track,1,Track,Other
Tucker Carlson,1,Tucker Carlson,National or International news
Tv,2,Tv,National or International news
tweer,1,tweer,Other
Twitter,4,Twitter,Social media or blogs
USA Times,1,USA Times,Other
Vogue,1,Vogue,Non-news magazines and other media
Wall Street Journal,2,Wall Street Journal,National or International news
Wall zstreet Journal,1,Wall zstreet Journal,National or International news
washington post,1,washington post,National or International news
Wavy 10,1,Wavy 10,Local news
Wctv,1,Wctv,Local news
weather,1,weather,Non-news magazines and other media
Websites,1,Websites,News aggregation platforms
Whatsapp,1,Whatsapp,Social media or blogs
WhatsApp,3,WhatsApp,Social media or blogs
Word of mouth,3,Word of mouth,Other
World,1,World,Other
WSVN,1,WSVN,Local news
WTAE,1,WTAE,Local news
yes,1,yes,Other
Yolo,1,Yolo,Other
youtube,2,youtube,Social media or blogs